"date","Year","dead","missing","dead_and_missing","latitude, longitude","lat","lon"
2015-12-22,2015,2,0,2,"38.3, 26.2",38.3,26.2
2015-12-21,2015,2,10,12,"32.952, 12.907",32.952,12.907
2015-12-18,2015,4,0,4,"37.1, 27.2",37.1,27.2
2015-12-19,2015,18,0,18,"36.9, 27.9",36.9,27.9
2015-12-18,2015,4,0,4,"36.9, 27.9",36.9,27.9
2015-12-15,2015,3,3,6,"36.14, 29.62",36.14,29.62
2015-12-14,2015,1,0,1,"39.44, 26.39",39.44,26.39
2015-12-10,2015,4,9,13,"37.29, 27.16",37.29,27.16
2015-12-07,2015,11,0,11,"26.7, -15",26.7,-15
2015-12-08,2015,6,2,8,"38.3, 26.2",38.3,26.2
2015-12-01,2015,1,0,1,"36.15, 29.51",36.15,29.51
2015-11-27,2015,4,0,4,"39.44, 26.39",39.44,26.39
2015-11-27,2015,2,0,2,"36.9, 27.9",36.9,27.9
2015-11-11,2015,14,0,14,"39.1, 26.21",39.1,26.21
2015-11-07,2015,1,0,1,"39.1, 26.21",39.1,26.21
2015-11-05,2015,1,1,2,"31.1, 27.1",31.1,27.1
2015-11-03,2015,4,0,4,"39.1, 26.21",39.1,26.21
2015-11-01,2015,15,0,15,"37.71, 26.8",37.71,26.8
2015-10-29,2015,8,0,8,"39.1, 26.21",39.1,26.21
2015-10-29,2015,3,3,6,"36.55, 28.22",36.55,28.22
2015-10-25,2015,3,7,10,"39, 26.191",39,26.191
2015-10-26,2015,1,0,1,"35.9, -5.31",35.9,-5.31
2015-10-17,2015,1,0,1,"37, 27",37,27
2015-10-17,2015,12,11,23,"39.1, 26.191",39.1,26.191
2015-10-16,2015,4,3,7,"37.0211, 27.151",37.0211,27.151
2015-10-14,2015,3,0,3,"39.11, 26.191",39.11,26.191
2015-10-15,2015,7,1,8,"39.1, 26.191",39.1,26.191
2015-10-11,2015,11,0,11,"32.07, 31.05",32.07,31.05
2015-09-27,2015,17,0,17,"37.0502, 27.223749",37.0502,27.223749
2015-09-18,2015,1,0,1,"38.3204079, 26.2969054",38.3204079,26.2969054
2015-09-15,2015,22,0,22,"31, 27.1",31,27.1
2015-09-14,2015,2,0,2,"38.41, 27.08",38.41,27.08
2015-09-02,2015,12,0,12,"31, 27",31,27
2015-08-24,2015,3,0,3,"40.1, 26.4",40.1,26.4
2015-08-18,2015,6,0,6,"31.1, 27",31.1,27
2015-07-09,2015,12,0,12,"35.5059, 12.6073",35.5059,12.6073
2015-07-23,2015,1,0,1,"50.954468, 1.862801",50.954468,1.862801
